Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,Brand,Model,Price_Per_Kilometer,Kilometers_Driven_log,Price_log
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,1.75,15,Maruti,WagonR,2.4305555555555554e-05,11.184421397998193,0.5596157879354227
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5,10,Hyundai,Creta1.6,0.0003048780487804878,10.621327345686446,2.5257286443082556
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5,14,Honda,JazzV,9.782608695652174e-05,10.736396675471232,1.5040773967762742
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0,13,Maruti,ErtigaVDI,6.896551724137931e-05,11.37366339763672,1.791759469228055
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74,12,Audi,A4New,0.00043619375461027783,10.61324599890127,2.8758219768814333
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,2.35,13,Hyundai,EONLPG,3.1333333333333334e-05,11.225243392518447,0.8544153281560676
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5,12,Nissan,MicraDiesel,4.023034747525834e-05,11.373651903317787,1.252762968495368
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5,9,Toyota,InnovaCrysta,0.0004861111111111111,10.491274217438248,2.8622008809294686
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2,12,Volkswagen,VentoDiesel,8.070774483936054e-05,11.073334642132687,1.6486586255873816
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95,13,Tata,IndicaVista,2.957592671237032e-05,11.096379186851246,0.6678293725756554
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95,7,Maruti,CiazZeta,0.00038728008718667286,10.153934938377683,2.2975725511705014
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49,13,Honda,City1.5,7.483333333333334e-05,11.002099841204238,1.501852701754163
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6,10,Maruti,SwiftVDI,8.692412765429032e-05,11.07324151347538,1.7227665977411035
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0,11,Land Rover,RoverRange,0.000375,11.184421397998193,3.295836866004329
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5,13,Land Rover,RoverFreelander,0.00020588235294117648,11.350406535472453,2.8622008809294686
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0,11,Mitsubishi,PajeroSport,0.00013636363636363637,11.608235644774552,2.70805020110221
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4,9,Honda,AmazeS,9.160305343511451e-05,10.984444905965518,1.6863989535702288
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99,8,Maruti,SwiftDDiS,0.0002396,10.126631103850338,1.7900914121273581
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34,11,Renault,Duster85PS,8.183918728781835e-05,11.257633135320098,1.8468787684491346
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0,11,Mercedes-Benz,NewC-Class,0.000356687898089172,11.2708539037705,3.332204510175204
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55,11,BMW,3Series,0.0005624279910254078,10.403717237088715,2.920469789053444
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25,10,Maruti,SCross,0.00014893847487001732,10.922190457975935,2.1102132003465894
